target,model,family,ab,label,rung,neff80,n_pose,n_pop,native_overrep,mean_overrep,oracle_overrep,mean_recall,oracle_recall,mean_true_rank,oracle_true_rank,mean_pop_rank,oracle_pop_rank,mean_dcc_true,oracle_dcc_true,mean_dcc_pop,oracle_dcc_pop
8kep_HL,protenix,RBD,A,class1/2(RBM),5,9.0,5,73,1.0,0.748,0.944,0.302,0.444,0.804,0.869,0.726,0.776,14.031,9.826,4.687,5.193
8kep_HL,protenix,RBD,A,class1/2(RBM),6,6.0,5,73,1.0,0.636,0.717,0.231,0.317,0.749,0.825,0.695,0.717,15.085,12.089,4.375,0.909
8kep_HL,protenix,RBD,A,class1/2(RBM),7,3.0,5,73,1.0,0.427,0.592,0.147,0.183,0.613,0.697,0.539,0.643,16.153,13.455,11.596,10.191
8kep_HL,protenix,RBD,A,class1/2(RBM),8,3.0,5,73,1.0,0.391,0.407,0.076,0.116,0.403,0.502,0.518,0.536,13.979,13.976,9.772,9.228
8kep_HL,protenix,RBD,A,class1/2(RBM),9,2.0,5,73,1.0,0.538,0.57,0.129,0.203,0.542,0.724,0.617,0.661,12.032,8.754,3.8,4.496
8kep_HL,protenix,RBD,A,class1/2(RBM),10,1.0,5,73,1.0,0.486,0.538,0.124,0.176,0.543,0.693,0.572,0.598,13.176,10.496,5.851,4.432
8kep_HL,protenix,RBD,A,class1/2(RBM),11,1.0,5,73,1.0,0.405,0.5,0.129,0.193,0.583,0.723,0.553,0.59,11.381,10.403,7.499,5.588
8wpy_AB,protenix,RBD,B,class3,0,35.938,5,73,0.091,0.699,0.561,0.062,0.246,0.364,0.785,0.674,0.618,23.37,15.51,7.862,11.894
8wpy_AB,protenix,RBD,B,class3,1,23.026,5,73,0.091,0.491,0.625,0.006,0.016,0.206,0.195,0.582,0.682,20.008,22.504,11.944,8.034
8wpy_AB,protenix,RBD,B,class3,2,19.368,5,73,0.091,0.351,0.493,0.024,0.06,0.329,0.355,0.481,0.587,16.835,18.866,15.588,11.339
8wpy_AB,protenix,RBD,B,class3,3,17.975,5,73,0.091,0.285,0.044,0.033,0.067,0.396,0.518,0.427,0.239,16.329,14.71,18.458,27.937
8wpy_AB,protenix,RBD,B,class3,4,12.75,5,73,0.091,0.325,0.159,0.051,0.114,0.334,0.509,0.466,0.326,16.528,13.632,16.9,23.018
8wpy_AB,protenix,RBD,B,class3,5,9.083,5,73,0.091,0.198,0.182,0.065,0.145,0.444,0.637,0.346,0.345,12.357,9.799,20.785,22.842
8wpy_AB,protenix,RBD,B,class3,6,7.0,5,73,0.091,0.365,0.253,0.031,0.093,0.226,0.427,0.482,0.39,16.715,14.829,16.878,22.985
8wpy_AB,protenix,RBD,B,class3,7,5.0,5,73,0.091,0.225,0.099,0.05,0.136,0.374,0.55,0.369,0.26,14.831,10.288,19.718,23.839
8wpy_AB,protenix,RBD,B,class3,8,2.0,5,73,0.091,0.382,0.288,0.153,0.305,0.543,0.784,0.487,0.392,14.092,10.465,11.418,11.178
8wpy_AB,protenix,RBD,B,class3,9,2.0,5,73,0.091,0.24,0.238,0.211,0.25,0.687,0.806,0.394,0.391,7.146,5.564,11.043,10.783
8wpy_AB,protenix,RBD,B,class3,10,1.0,5,73,0.091,0.362,0.286,0.171,0.195,0.608,0.613,0.489,0.405,7.843,8.691,8.574,9.546
8wpy_AB,protenix,RBD,B,class3,11,1.0,5,73,0.091,0.244,0.119,0.169,0.269,0.626,0.725,0.41,0.325,9.84,3.644,11.714,14.412
9azt_HL,protenix,HA,A,head,0,119.616,5,207,1.0,0.955,0.98,0.154,0.46,0.531,0.908,0.497,0.507,17.233,4.227,11.333,12.365
9azt_HL,protenix,HA,A,head,1,88.834,5,207,1.0,0.94,0.947,0.019,0.026,0.275,0.321,0.494,0.492,23.021,25.067,10.559,13.267
9azt_HL,protenix,HA,A,head,2,68.907,5,207,1.0,0.952,0.93,0.005,0.023,0.263,0.355,0.496,0.493,22.652,18.924,10.461,10.181
9azt_HL,protenix,HA,A,head,3,45.001,5,207,1.0,0.95,0.911,0.017,0.044,0.322,0.378,0.493,0.491,22.149,21.721,10.273,11.051
9azt_HL,protenix,HA,A,head,4,29.735,5,207,1.0,0.938,0.92,0.024,0.04,0.288,0.319,0.493,0.492,24.148,23.752,11.38,11.415
9azt_HL,protenix,HA,A,head,5,21.936,5,207,1.0,0.966,1.0,0.064,0.3,0.333,0.739,0.499,0.502,20.352,11.088,9.725,10.602
9azt_HL,protenix,HA,A,head,6,14.0,5,207,1.0,0.952,0.942,0.025,0.058,0.224,0.351,0.496,0.493,21.521,19.92,8.219,7.076
9azt_HL,protenix,HA,A,head,7,9.333,5,207,1.0,0.928,0.95,0.0,0.0,0.265,0.303,0.493,0.493,25.9,22.977,12.863,11.464
9azt_HL,protenix,HA,A,head,8,5.0,5,207,1.0,0.969,0.963,0.155,0.222,0.538,0.751,0.499,0.5,13.157,10.113,8.338,6.534
9azt_HL,protenix,HA,A,head,9,3.0,5,207,1.0,0.968,0.981,0.2,0.407,0.604,0.858,0.501,0.503,14.118,8.687,9.038,10.3
9azt_HL,protenix,HA,A,head,10,2.0,5,207,1.0,0.975,0.986,0.111,0.324,0.483,0.84,0.501,0.504,15.267,4.531,9.257,10.641
9azt_HL,protenix,HA,A,head,11,1.0,5,207,1.0,0.978,0.984,0.104,0.188,0.486,0.612,0.501,0.501,7.991,8.706,5.591,6.627
8tx3_FK,protenix,HA,B,stem,0,59.723,5,251,0.0,1.0,1.0,0.0,0.0,0.156,0.158,0.737,0.737,91.339,93.477,17.61,19.463
8tx3_FK,protenix,HA,B,stem,1,45.597,5,251,0.0,0.467,0.048,0.095,0.286,0.656,0.912,0.494,0.293,46.782,14.086,31.719,63.026
8tx3_FK,protenix,HA,B,stem,2,37.619,5,251,0.0,1.0,1.0,0.0,0.0,0.175,0.146,0.728,0.733,87.709,98.999,22.043,26.745
8tx3_FK,protenix,HA,B,stem,3,22.394,5,251,0.0,1.0,1.0,0.0,0.0,0.158,0.146,0.737,0.735,90.348,100.153,19.247,25.894
8tx3_FK,protenix,HA,B,stem,4,14.609,5,251,0.0,1.0,1.0,0.0,0.0,0.155,0.134,0.737,0.729,90.905,96.631,17.029,22.265
8tx3_FK,protenix,HA,B,stem,5,10.425,5,251,0.0,1.0,1.0,0.0,0.0,0.181,0.204,0.738,0.738,81.343,83.051,16.772,20.321
8tx3_FK,protenix,HA,B,stem,6,12.333,5,251,0.0,0.881,0.829,0.006,0.029,0.268,0.533,0.657,0.56,52.787,33.357,17.142,20.148
8tx3_FK,protenix,HA,B,stem,7,6.0,5,251,0.0,1.0,1.0,0.0,0.0,0.115,0.125,0.73,0.691,70.53,62.706,14.013,14.081
8tx3_FK,protenix,HA,B,stem,8,5.0,5,251,0.0,0.473,0.293,0.046,0.121,0.45,0.821,0.487,0.393,31.186,22.6,19.636,22.452
8tx3_FK,protenix,HA,B,stem,9,3.0,5,251,0.0,0.724,0.733,0.033,0.133,0.341,0.303,0.619,0.665,38.417,43.418,19.843,23.912
8tx3_FK,protenix,HA,B,stem,10,2.0,5,251,0.0,0.676,0.562,0.072,0.25,0.555,0.9,0.585,0.514,22.708,9.616,16.588,19.046
8tx3_FK,protenix,HA,B,stem,11,1.0,5,251,0.0,0.514,0.658,0.052,0.211,0.458,0.616,0.492,0.573,22.062,16.018,19.913,16.495
8ulr_HL,protenix,Env,A,CD4bs,0,3050.887,5,76,0.867,0.439,0.478,0.327,0.373,0.885,0.906,0.583,0.589,19.922,17.655,21.208,18.043
8ulr_HL,protenix,Env,A,CD4bs,1,1511.812,5,76,0.867,0.081,0.35,0.047,0.233,0.38,0.839,0.374,0.601,32.295,22.256,33.8,23.511
8ulr_HL,protenix,Env,A,CD4bs,2,701.811,5,76,0.867,0.761,0.781,0.718,0.781,0.956,0.958,0.678,0.665,1.476,1.446,17.549,19.616
8ulr_HL,protenix,Env,A,CD4bs,3,342.686,5,76,0.867,0.715,0.789,0.682,0.711,0.953,0.956,0.661,0.666,2.772,2.212,17.529,17.041
8ulr_HL,protenix,Env,A,CD4bs,4,159.769,5,76,0.867,0.615,0.707,0.535,0.61,0.941,0.949,0.697,0.668,5.535,3.807,13.299,15.301
8ulr_HL,protenix,Env,A,CD4bs,5,79.083,5,76,0.867,0.506,0.545,0.346,0.394,0.905,0.921,0.734,0.735,12.405,10.48,9.102,9.749
8ulr_HL,protenix,Env,A,CD4bs,6,32.0,5,76,0.867,0.256,0.333,0.122,0.189,0.65,0.783,0.594,0.631,24.468,22.411,8.756,8.232
8ulr_HL,protenix,Env,A,CD4bs,7,19.0,5,76,0.867,0.422,0.435,0.276,0.339,0.854,0.897,0.685,0.706,14.558,8.725,9.565,13.612
8ulr_HL,protenix,Env,A,CD4bs,8,11.0,5,76,0.867,0.399,0.473,0.199,0.324,0.779,0.89,0.686,0.667,21.551,15.949,6.267,6.287
8ulr_HL,protenix,Env,A,CD4bs,9,4.0,5,76,0.867,0.268,0.312,0.158,0.208,0.716,0.8,0.559,0.552,16.24,13.656,10.538,12.488
8ulr_HL,protenix,Env,A,CD4bs,10,1.0,5,76,0.867,0.253,0.318,0.115,0.153,0.627,0.596,0.575,0.572,13.331,15.293,10.019,13.249
8ulr_HL,protenix,Env,A,CD4bs,11,1.0,5,76,0.867,0.252,0.167,0.062,0.104,0.506,0.638,0.563,0.559,15.856,12.02,12.794,14.906
9vxl_BC,protenix,C,C,CD38,0,607.011,5,0,,,,0.04,0.066,0.483,0.543,,,19.962,14.57,,
9vxl_BC,protenix,C,C,CD38,1,387.973,5,0,,,,0.034,0.06,0.44,0.468,,,20.626,21.509,,
9vxl_BC,protenix,C,C,CD38,2,228.407,5,0,,,,0.015,0.061,0.307,0.533,,,24.396,22.125,,
9vxl_BC,protenix,C,C,CD38,3,134.012,5,0,,,,0.021,0.042,0.415,0.56,,,20.745,24.682,,
9vxl_BC,protenix,C,C,CD38,4,70.438,5,0,,,,0.014,0.034,0.454,0.636,,,18.727,14.771,,
9vxl_BC,protenix,C,C,CD38,5,42.0,5,0,,,,0.034,0.057,0.488,0.446,,,18.085,21.459,,
9vxl_BC,protenix,C,C,CD38,6,21.0,5,0,,,,0.043,0.063,0.51,0.553,,,17.132,14.361,,
9vxl_BC,protenix,C,C,CD38,7,13.0,5,0,,,,0.003,0.015,0.341,0.384,,,18.663,16.127,,
9vxl_BC,protenix,C,C,CD38,8,6.0,5,0,,,,0.023,0.036,0.506,0.559,,,16.062,14.914,,
9vxl_BC,protenix,C,C,CD38,9,4.0,5,0,,,,0.045,0.103,0.48,0.619,,,23.326,15.375,,
9vxl_BC,protenix,C,C,CD38,10,2.0,5,0,,,,0.037,0.13,0.44,0.742,,,17.979,13.074,,
9vxl_BC,protenix,C,C,CD38,11,1.0,5,0,,,,0.083,0.141,0.588,0.785,,,14.747,11.445,,
8k5g_HL,protenix,RBD,A,class1/2(RBM),0,30.926,5,73,0.933,0.881,0.969,0.247,0.281,0.83,0.844,0.759,0.772,16.252,15.374,5.455,5.369
8k5g_HL,protenix,RBD,A,class1/2(RBM),1,22.373,5,73,0.933,0.862,0.917,0.345,0.417,0.872,0.892,0.765,0.769,12.631,12.748,4.239,4.345
8k5g_HL,protenix,RBD,A,class1/2(RBM),2,16.222,5,73,0.933,0.887,1.0,0.432,0.5,0.907,0.897,0.76,0.779,7.51,7.725,6.185,6.746
8k5g_HL,protenix,RBD,A,class1/2(RBM),3,14.842,5,73,0.933,0.626,0.971,0.248,0.441,0.822,0.922,0.657,0.791,20.04,9.024,10.633,4.795
8k5g_HL,protenix,RBD,A,class1/2(RBM),4,10.667,5,73,0.933,0.851,0.963,0.297,0.333,0.862,0.865,0.753,0.769,5.587,2.338,5.995,6.318
8k5g_HL,protenix,RBD,A,class1/2(RBM),5,8.417,5,73,0.933,0.805,0.917,0.216,0.278,0.792,0.835,0.732,0.764,14.973,11.221,6.178,3.626
8k5g_HL,protenix,RBD,A,class1/2(RBM),6,6.5,5,73,0.933,0.408,0.561,0.103,0.211,0.478,0.791,0.505,0.629,22.74,17.65,14.806,9.169
8k5g_HL,protenix,RBD,A,class1/2(RBM),7,4.0,5,73,0.933,0.9,0.892,0.315,0.378,0.888,0.909,0.775,0.765,6.732,5.875,5.076,6.159
8k5g_HL,protenix,RBD,A,class1/2(RBM),8,3.0,5,73,0.933,0.449,0.536,0.124,0.179,0.611,0.661,0.553,0.595,22.433,17.361,15.041,9.64
8k5g_HL,protenix,RBD,A,class1/2(RBM),9,1.0,5,73,0.933,0.346,0.577,0.068,0.154,0.461,0.649,0.497,0.668,15.032,11.43,13.228,5.491
8k5g_HL,protenix,RBD,A,class1/2(RBM),10,1.0,5,73,0.933,0.451,0.562,0.142,0.172,0.689,0.782,0.592,0.656,8.539,6.438,11.566,10.999
8k5g_HL,protenix,RBD,A,class1/2(RBM),11,1.0,5,73,0.933,0.484,0.431,0.136,0.155,0.678,0.696,0.6,0.58,8.259,12.168,10.031,13.034
8k3k_D,protenix,RBD,B,class4,0,28.989,5,73,0.346,0.86,0.963,0.064,0.111,0.529,0.55,0.76,0.78,21.485,22.198,4.085,5.256
8k3k_D,protenix,RBD,B,class4,1,20.875,5,73,0.346,0.866,0.923,0.031,0.077,0.416,0.425,0.753,0.778,21.024,19.878,5.797,4.025
8k3k_D,protenix,RBD,B,class4,2,14.258,5,73,0.346,0.592,0.171,0.231,0.571,0.642,0.885,0.577,0.321,17.819,5.774,13.142,22.525
8k3k_D,protenix,RBD,B,class4,3,12.75,5,73,0.346,0.815,0.974,0.096,0.132,0.504,0.513,0.751,0.795,18.9,19.457,4.822,3.557
8k3k_D,protenix,RBD,B,class4,4,10.267,5,73,0.346,0.824,0.774,0.097,0.129,0.555,0.573,0.745,0.735,21.578,20.133,4.175,3.592
8k3k_D,protenix,RBD,B,class4,5,9.0,5,73,0.346,0.737,0.605,0.099,0.263,0.513,0.683,0.725,0.674,20.127,15.746,5.125,5.958
8k3k_D,protenix,RBD,B,class4,6,6.0,5,73,0.346,0.713,0.825,0.005,0.025,0.285,0.441,0.692,0.744,22.367,21.877,5.034,2.688
8k3k_D,protenix,RBD,B,class4,7,3.0,5,73,0.346,0.614,0.617,0.183,0.298,0.554,0.614,0.644,0.657,7.848,10.155,8.91,8.081
8k3k_D,protenix,RBD,B,class4,8,3.0,5,73,0.346,0.259,0.349,0.089,0.186,0.454,0.549,0.428,0.463,12.926,10.005,13.116,11.208
8k3k_D,protenix,RBD,B,class4,9,2.0,5,73,0.346,0.298,0.225,0.122,0.175,0.485,0.603,0.438,0.391,12.293,8.365,11.817,13.767
8k3k_D,protenix,RBD,B,class4,10,1.0,5,73,0.346,0.262,0.365,0.093,0.135,0.472,0.617,0.437,0.494,10.41,6.702,11.897,8.828
8k3k_D,protenix,RBD,B,class4,11,1.0,5,73,0.346,0.231,0.364,0.104,0.145,0.47,0.591,0.432,0.495,10.877,6.552,12.566,8.929
8tp5_HL,protenix,HA,A,head,0,140.052,5,246,1.0,0.258,0.25,0.0,0.0,0.084,0.077,0.407,0.405,54.554,55.31,37.807,38.249
8tp5_HL,protenix,HA,A,head,1,104.853,5,246,1.0,0.114,0.138,0.0,0.0,0.106,0.093,0.396,0.397,65.73,62.941,49.405,46.624
8tp5_HL,protenix,HA,A,head,2,73.226,5,246,1.0,0.702,1.0,0.261,0.69,0.549,0.93,0.517,0.604,28.097,3.557,24.637,19.423
8tp5_HL,protenix,HA,A,head,3,48.992,5,246,1.0,0.551,1.0,0.257,0.667,0.655,0.936,0.464,0.603,34.135,3.286,24.212,19.099
8tp5_HL,protenix,HA,A,head,4,29.993,5,246,1.0,0.55,0.493,0.078,0.333,0.355,0.867,0.46,0.437,36.672,33.535,20.99,16.842
8tp5_HL,protenix,HA,A,head,5,23.367,5,246,1.0,0.617,0.714,0.017,0.02,0.316,0.353,0.472,0.508,33.194,26.025,18.282,11.205
8tp5_HL,protenix,HA,A,head,6,11.283,5,246,1.0,0.518,0.541,0.156,0.284,0.599,0.846,0.441,0.449,32.133,26.615,16.11,11.094
8tp5_HL,protenix,HA,A,head,7,10.333,5,246,1.0,0.498,0.538,0.007,0.013,0.194,0.245,0.439,0.444,34.8,33.248,18.491,17.165
8tp5_HL,protenix,HA,A,head,8,6.0,5,246,1.0,0.541,0.586,0.003,0.017,0.281,0.333,0.442,0.452,34.724,31.652,19.899,17.411
8tp5_HL,protenix,HA,A,head,9,3.0,5,246,1.0,0.591,0.731,0.009,0.03,0.185,0.234,0.463,0.487,27.354,20.661,16.071,10.443
8tp5_HL,protenix,HA,A,head,10,2.0,5,246,1.0,0.715,0.923,0.116,0.192,0.551,0.545,0.5,0.535,13.421,14.038,10.705,11.941
8tp5_HL,protenix,HA,A,head,11,1.0,5,246,1.0,0.861,0.87,0.125,0.188,0.551,0.579,0.531,0.516,10.43,9.17,8.471,10.156
8t49_PR,protenix,Env,A,N332,0,2935.914,5,72,0.286,0.122,0.125,0.149,0.181,0.895,0.923,0.494,0.535,20.066,14.964,11.081,11.263
8t49_PR,protenix,Env,A,N332,1,1433.539,5,72,0.286,0.191,0.295,0.146,0.295,0.764,0.958,0.57,0.665,16.443,5.025,11.598,16.375
8t49_PR,protenix,Env,A,N332,2,674.603,5,72,0.286,0.159,0.312,0.105,0.167,0.779,0.896,0.503,0.712,26.537,7.27,21.075,19.934
8t49_PR,protenix,Env,A,N332,3,319.087,5,72,0.286,0.294,0.339,0.156,0.22,0.902,0.94,0.662,0.665,11.306,5.083,10.826,14.771
8t49_PR,protenix,Env,A,N332,4,153.583,5,72,0.286,0.283,0.365,0.153,0.192,0.885,0.898,0.659,0.716,15.823,17.092,9.332,12.218
8t49_PR,protenix,Env,A,N332,5,81.0,5,72,0.286,0.384,0.364,0.149,0.167,0.894,0.91,0.701,0.731,13.566,10.975,9.088,9.686
8t49_PR,protenix,Env,A,N332,6,31.0,5,72,0.286,0.205,0.282,0.042,0.118,0.587,0.874,0.51,0.622,23.587,15.567,16.482,14.679
8t49_PR,protenix,Env,A,N332,7,14.0,5,72,0.286,0.242,0.351,0.185,0.351,0.877,0.966,0.625,0.634,13.043,7.0,16.67,17.234
8t49_PR,protenix,Env,A,N332,8,4.0,5,72,0.286,0.302,0.162,0.151,0.189,0.802,0.828,0.601,0.534,9.448,8.2,15.844,26.074
8t49_PR,protenix,Env,A,N332,9,3.0,5,72,0.286,0.196,0.3,0.13,0.217,0.875,0.934,0.521,0.644,12.826,9.651,15.292,9.781
8t49_PR,protenix,Env,A,N332,10,1.0,5,72,0.286,0.23,0.282,0.115,0.169,0.783,0.891,0.577,0.609,10.205,8.823,16.268,17.266
8t49_PR,protenix,Env,A,N332,11,1.0,5,72,0.286,0.201,0.306,0.147,0.25,0.739,0.847,0.475,0.598,10.631,8.769,17.771,16.797
8tjr_HL,protenix,Env,B,FP,0,202.356,5,0,0.0,0.0,0.0,0.079,0.084,0.467,0.475,,,11.138,11.154,,
8tjr_HL,protenix,Env,B,FP,1,146.973,5,0,0.0,0.0,0.0,0.066,0.093,0.444,0.546,,,12.235,8.581,,
8tjr_HL,protenix,Env,B,FP,2,87.381,5,0,0.0,0.0,0.0,0.072,0.088,0.472,0.549,,,10.658,11.129,,
8tjr_HL,protenix,Env,B,FP,3,65.564,5,0,0.0,0.0,0.0,0.058,0.113,0.417,0.583,,,8.845,7.744,,
8tjr_HL,protenix,Env,B,FP,4,41.007,5,0,0.0,0.0,0.0,0.099,0.123,0.605,0.666,,,11.482,13.115,,
8tjr_HL,protenix,Env,B,FP,5,25.609,5,0,0.0,0.0,0.0,0.058,0.135,0.495,0.69,,,15.147,13.552,,
8tjr_HL,protenix,Env,B,FP,6,18.521,5,0,0.0,0.0,0.0,0.075,0.112,0.476,0.598,,,16.415,15.399,,
8tjr_HL,protenix,Env,B,FP,7,13.605,5,0,0.0,0.0,0.0,0.027,0.069,0.372,0.447,,,11.155,8.639,,
8tjr_HL,protenix,Env,B,FP,8,7.0,5,0,0.0,0.0,0.0,0.013,0.027,0.233,0.236,,,36.68,35.635,,
8tjr_HL,protenix,Env,B,FP,9,4.0,5,0,0.0,0.0,0.0,0.031,0.047,0.412,0.508,,,32.63,29.931,,
8tjr_HL,protenix,Env,B,FP,10,2.0,5,0,0.0,0.0,0.0,0.037,0.06,0.327,0.359,,,32.81,38.803,,
8tjr_HL,protenix,Env,B,FP,11,1.0,5,0,0.0,0.0,0.0,0.041,0.111,0.463,0.653,,,14.396,12.487,,
9ly5_AB,protenix,C,C,B7-H3,0,3708.0,5,0,,,,0.122,0.167,0.648,0.711,,,22.444,15.377,,
9ly5_AB,protenix,C,C,B7-H3,1,1800.063,5,0,,,,0.079,0.125,0.526,0.668,,,23.376,23.686,,
9ly5_AB,protenix,C,C,B7-H3,2,859.349,5,0,,,,0.169,0.227,0.747,0.769,,,26.12,27.959,,
9ly5_AB,protenix,C,C,B7-H3,3,385.7,5,0,,,,0.2,0.232,0.79,0.825,,,26.137,27.453,,
9ly5_AB,protenix,C,C,B7-H3,4,177.15,5,0,,,,0.176,0.213,0.761,0.785,,,23.372,28.044,,
9ly5_AB,protenix,C,C,B7-H3,5,88.0,5,0,,,,0.17,0.2,0.754,0.758,,,22.862,27.236,,
9ly5_AB,protenix,C,C,B7-H3,6,39.0,5,0,,,,0.151,0.181,0.722,0.774,,,23.865,21.22,,
9ly5_AB,protenix,C,C,B7-H3,7,18.0,5,0,,,,0.192,0.259,0.775,0.898,,,21.218,13.835,,
9ly5_AB,protenix,C,C,B7-H3,8,9.0,5,0,,,,0.087,0.233,0.456,0.852,,,21.636,9.684,,
9ly5_AB,protenix,C,C,B7-H3,9,4.0,5,0,,,,0.058,0.25,0.367,0.881,,,28.881,24.374,,
9ly5_AB,protenix,C,C,B7-H3,10,2.0,5,0,,,,0.186,0.232,0.827,0.842,,,19.086,20.243,,
9ly5_AB,protenix,C,C,B7-H3,11,1.0,5,0,,,,0.165,0.231,0.67,0.865,,,17.521,14.822,,
8k5h_HL,protenix,RBD,A,class1/2(RBM),0,33.664,5,71,0.933,0.891,0.781,0.237,0.281,0.842,0.882,0.792,0.785,15.204,12.404,4.607,3.401
8k5h_HL,protenix,RBD,A,class1/2(RBM),1,24.424,5,71,0.933,0.763,0.805,0.207,0.317,0.798,0.906,0.739,0.776,17.163,7.811,7.268,5.702
8k5h_HL,protenix,RBD,A,class1/2(RBM),2,14.413,5,71,0.933,0.634,0.643,0.225,0.357,0.698,0.892,0.668,0.75,18.777,15.626,9.619,6.509
8k5h_HL,protenix,RBD,A,class1/2(RBM),3,12.183,5,71,0.933,0.826,0.84,0.27,0.36,0.833,0.882,0.769,0.788,15.001,12.399,5.248,4.285
8k5h_HL,protenix,RBD,A,class1/2(RBM),4,12.0,5,71,0.933,0.544,0.921,0.221,0.368,0.715,0.924,0.613,0.804,20.793,8.136,13.344,4.966
8k5h_HL,protenix,RBD,A,class1/2(RBM),5,10.0,5,71,0.933,0.881,0.875,0.315,0.438,0.881,0.946,0.795,0.8,9.262,5.778,6.173,6.979
8k5h_HL,protenix,RBD,A,class1/2(RBM),6,4.0,5,71,0.933,0.798,0.923,0.28,0.385,0.794,0.921,0.717,0.759,12.252,5.744,9.267,10.042
8k5h_HL,protenix,RBD,A,class1/2(RBM),7,4.0,5,71,0.933,0.515,0.971,0.077,0.294,0.549,0.881,0.588,0.81,25.748,8.531,16.56,7.288
8k5h_HL,protenix,RBD,A,class1/2(RBM),8,2.0,5,71,0.933,0.668,0.81,0.191,0.262,0.687,0.858,0.675,0.783,13.564,7.123,8.938,3.944
8k5h_HL,protenix,RBD,A,class1/2(RBM),9,2.0,5,71,0.933,0.542,0.864,0.116,0.318,0.583,0.834,0.615,0.77,13.248,4.635,11.16,6.844
8k5h_HL,protenix,RBD,A,class1/2(RBM),10,1.0,5,71,0.933,0.27,0.339,0.101,0.145,0.603,0.685,0.463,0.529,12.88,10.706,16.075,13.879
8k5h_HL,protenix,RBD,A,class1/2(RBM),11,1.0,5,71,0.933,0.293,0.304,0.118,0.143,0.603,0.682,0.47,0.482,13.592,10.088,15.889,15.519
8xsj_HL,protenix,RBD,B,class3,0,39.18,5,73,0.273,0.637,0.73,0.032,0.159,0.221,0.588,0.658,0.723,22.0,22.026,8.216,3.066
8xsj_HL,protenix,RBD,B,class3,1,31.574,5,73,0.273,0.561,0.5,0.006,0.017,0.15,0.219,0.624,0.591,20.311,19.115,9.408,10.287
8xsj_HL,protenix,RBD,B,class3,2,20.748,5,73,0.273,0.594,0.741,0.011,0.056,0.195,0.362,0.666,0.735,22.148,25.339,7.372,2.142
8xsj_HL,protenix,RBD,B,class3,3,19.0,5,73,0.273,0.707,0.549,0.076,0.197,0.392,0.729,0.702,0.619,20.996,15.33,4.732,9.261
8xsj_HL,protenix,RBD,B,class3,4,12.833,5,73,0.273,0.631,0.745,0.047,0.216,0.29,0.616,0.617,0.709,22.712,19.997,8.988,3.162
8xsj_HL,protenix,RBD,B,class3,5,10.0,5,73,0.273,0.636,0.831,0.078,0.203,0.336,0.672,0.672,0.753,20.674,22.263,7.237,4.837
8xsj_HL,protenix,RBD,B,class3,6,7.0,5,73,0.273,0.512,0.242,0.108,0.226,0.463,0.713,0.596,0.375,18.067,14.011,10.342,18.449
8xsj_HL,protenix,RBD,B,class3,7,4.0,5,73,0.273,0.393,0.239,0.163,0.196,0.576,0.536,0.512,0.385,14.964,15.221,12.258,16.778
8xsj_HL,protenix,RBD,B,class3,8,2.0,5,73,0.273,0.56,0.419,0.102,0.194,0.489,0.607,0.629,0.508,12.476,9.688,7.459,15.553
8xsj_HL,protenix,RBD,B,class3,9,2.0,5,73,0.273,0.41,0.429,0.137,0.169,0.522,0.614,0.502,0.516,8.894,8.394,9.669,12.39
8xsj_HL,protenix,RBD,B,class3,10,2.0,5,73,0.273,0.476,0.58,0.129,0.18,0.491,0.526,0.587,0.673,10.596,10.675,10.286,10.187
8xsj_HL,protenix,RBD,B,class3,11,1.0,5,73,0.273,0.602,0.645,0.133,0.161,0.54,0.563,0.649,0.678,10.273,11.098,5.315,4.573
9b7g_QP,protenix,HA,A,head,0,175.83,5,251,1.0,0.988,1.0,0.602,0.632,0.937,0.944,0.624,0.624,3.674,3.399,18.231,19.147
9b7g_QP,protenix,HA,A,head,1,127.599,5,251,1.0,0.913,1.0,0.582,0.727,0.923,0.95,0.592,0.632,8.89,2.358,16.847,19.112
9b7g_QP,protenix,HA,A,head,2,82.037,5,251,1.0,0.883,1.0,0.551,0.85,0.826,0.94,0.582,0.629,12.17,1.696,17.352,19.654
9b7g_QP,protenix,HA,A,head,3,62.323,5,251,1.0,0.941,1.0,0.424,0.571,0.826,0.924,0.594,0.626,12.112,5.874,14.935,17.07
9b7g_QP,protenix,HA,A,head,4,39.0,5,251,1.0,0.984,1.0,0.554,0.724,0.925,0.947,0.614,0.622,5.39,1.677,16.917,19.425
9b7g_QP,protenix,HA,A,head,5,26.0,5,251,1.0,0.453,0.516,0.249,0.306,0.837,0.864,0.447,0.46,39.524,36.85,20.742,18.464
9b7g_QP,protenix,HA,A,head,6,15.5,5,251,1.0,0.727,1.0,0.323,0.7,0.725,0.949,0.517,0.624,18.966,2.673,17.647,19.408
9b7g_QP,protenix,HA,A,head,7,8.0,5,251,1.0,0.729,1.0,0.25,0.486,0.724,0.924,0.516,0.626,19.081,2.981,14.047,17.62
9b7g_QP,protenix,HA,A,head,8,4.0,5,251,1.0,1.0,1.0,0.385,0.658,0.888,0.954,0.606,0.615,12.252,2.926,13.211,18.388
9b7g_QP,protenix,HA,A,head,9,2.0,5,251,1.0,0.72,0.699,0.035,0.068,0.409,0.476,0.501,0.487,20.643,17.95,11.824,11.669
9b7g_QP,protenix,HA,A,head,10,1.0,5,251,1.0,0.504,0.415,0.072,0.132,0.534,0.697,0.458,0.486,16.288,14.279,16.391,21.413
