target,group,ab,model,rung,neff80,best_dockq,n_pose
9yc6_HL,C,C,boltz,2,102.136,0.03,5
9yc6_HL,C,C,boltz,3,63.567,0.044,5
9yc6_HL,C,C,boltz,4,37.0,0.039,5
9yc6_HL,C,C,boltz,5,19.0,0.036,5
9yc6_HL,C,C,boltz,6,11.0,0.023,5
9yc6_HL,C,C,boltz,7,8.0,0.027,5
9yc6_HL,C,C,boltz,8,3.0,0.022,5
9yc6_HL,C,C,boltz,9,3.0,0.034,5
9yc6_HL,C,C,boltz,10,2.0,0.05,5
9j4c_HL,C,C,boltz,0,1032.685,0.003,5
9j4c_HL,C,C,boltz,1,625.088,0.003,5
9j4c_HL,C,C,boltz,2,351.454,0.004,5
9j4c_HL,C,C,boltz,3,195.327,0.004,5
9j4c_HL,C,C,boltz,4,104.233,0.005,5
9j4c_HL,C,C,boltz,5,50.1,0.005,5
9j4c_HL,C,C,boltz,6,27.0,0.004,5
9j4c_HL,C,C,boltz,7,11.0,0.004,5
9j4c_HL,C,C,boltz,8,8.0,0.008,5
9j4c_HL,C,C,boltz,9,3.0,0.014,5
9j4c_HL,C,C,boltz,10,1.0,0.023,5
